Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,4,2017,71,U,false,JMC,APRIL,2023,Lecture 1
1,US,4,2017,71,U,false,PYC,OCTOBER,2022,Lecture 4
2,US,4,2020,33,M,true,JMC,MAY,2022,Lecture 13
2,US,4,2020,33,M,true,PYC,DECEMBER,2024,Lecture 6
3,US,10,2020,35,U,false,JMC,MAY,2022,Lecture 12
3,US,10,2020,35,U,false,PYC,APRIL,2020,Lecture 14
4,CN,10,2021,76,U,false,JMC,SEPTEMBER,2023,Lecture 1
4,CN,10,2021,76,U,false,PYC,MAY,2022,Lecture 2
5,IN,9,2016,31,F,false,JMC,JULY,2024,Lecture 2
5,IN,9,2016,31,F,false,PYC,AUGUST,2019,Lecture 13
6,CN,4,2021,50,M,false,JMC,SEPTEMBER,2023,Lecture 14
6,CN,4,2021,50,M,false,PYC,DECEMBER,2022,Lecture 10
7,US,2,2024,42,F,false,JMC,APRIL,2024,Lecture 5
7,US,2,2024,42,F,false,PYC,JUNE,2024,Lecture 3
8,CN,10,2015,79,U,true,JMC,DECEMBER,2017,Lecture 14
8,CN,10,2015,79,U,true,PYC,SEPTEMBER,2017,Lecture 13
9,GB,1,2016,41,U,true,JMC,APRIL,2017,Lecture 7
9,GB,1,2016,41,U,true,PYC,SEPTEMBER,2017,Lecture 3
10,US,10,2022,61,F,true,JMC,FEBRUARY,2024,Lecture 4
10,US,10,2022,61,F,true,PYC,JUNE,2022,Lecture 13
11,CN,11,2020,42,M,true,JMC,MARCH,2021,Lecture 7
11,CN,11,2020,42,M,true,PYC,OCTOBER,2022,Lecture 9
12,GB,3,2016,45,F,false,JMC,NOVEMBER,2020,Lecture 1
12,GB,3,2016,45,F,false,PYC,JANUARY,2019,Lecture 1
13,IN,12,2021,32,U,false,JMC,MARCH,2021,Lecture 8
13,IN,12,2021,32,U,false,PYC,MAY,2024,Lecture 8
14,AU,11,2018,36,M,false,JMC,APRIL,2022,Lecture 9
14,AU,11,2018,36,M,false,PYC,DECEMBER,2022,Lecture 12
15,CN,7,2021,38,M,true,JMC,MARCH,2023,Lecture 3
15,CN,7,2021,38,M,true,PYC,NOVEMBER,2021,Lecture 6
16,GB,11,2017,47,F,false,JMC,DECEMBER,2017,Lecture 5
16,GB,11,2017,47,F,false,PYC,OCTOBER,2017,Lecture 2
17,GB,7,2019,85,F,true,JMC,NOVEMBER,2022,Lecture 7
17,GB,7,2019,85,F,true,PYC,NOVEMBER,2021,Lecture 9
18,IN,3,2019,68,U,true,JMC,OCTOBER,2019,Lecture 3
18,IN,3,2019,68,U,true,PYC,FEBRUARY,2023,Lecture 1
19,GB,2,2016,55,F,true,JMC,DECEMBER,2017,Lecture 13
19,GB,2,2016,55,F,true,PYC,OCTOBER,2019,Lecture 7
20,GB,10,2017,61,U,false,JMC,SEPTEMBER,2023,Lecture 9
20,GB,10,2017,61,U,false,PYC,DECEMBER,2024,Lecture 3
21,US,12,2016,89,U,false,JMC,DECEMBER,2018,Lecture 1
21,US,12,2016,89,U,false,PYC,DECEMBER,2024,Lecture 12
22,CN,7,2022,85,F,false,JMC,JUNE,2024,Lecture 8
22,CN,7,2022,85,F,false,PYC,MAY,2022,Lecture 9
23,IN,2,2024,71,F,true,JMC,JUNE,2024,Lecture 3
23,IN,2,2024,71,F,true,PYC,DECEMBER,2024,Lecture 8
24,AU,6,2023,70,F,true,JMC,AUGUST,2024,Lecture 5
24,AU,6,2023,70,F,true,PYC,MAY,2024,Lecture 12
25,IN,12,2021,72,M,false,JMC,JUNE,2021,Lecture 11
25,IN,12,2021,72,M,false,PYC,FEBRUARY,2021,Lecture 7
