Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,AU,11,2023,18,M,false,JMC,DECEMBER,2023,Lecture 8
1,AU,11,2023,18,M,false,PYC,SEPTEMBER,2023,Lecture 10
2,GB,11,2021,63,F,true,JMC,DECEMBER,2023,Lecture 12
2,GB,11,2021,63,F,true,PYC,DECEMBER,2021,Lecture 14
3,AU,12,2020,62,U,true,JMC,NOVEMBER,2022,Lecture 4
3,AU,12,2020,62,U,true,PYC,OCTOBER,2024,Lecture 4
4,IN,11,2018,87,M,true,JMC,OCTOBER,2023,Lecture 11
4,IN,11,2018,87,M,true,PYC,FEBRUARY,2019,Lecture 7
5,US,9,2018,50,M,false,JMC,JUNE,2021,Lecture 5
5,US,9,2018,50,M,false,PYC,AUGUST,2019,Lecture 11
6,IN,11,2018,24,M,false,JMC,NOVEMBER,2023,Lecture 12
6,IN,11,2018,24,M,false,PYC,FEBRUARY,2018,Lecture 6
7,CN,11,2016,83,U,true,JMC,SEPTEMBER,2021,Lecture 9
7,CN,11,2016,83,U,true,PYC,FEBRUARY,2017,Lecture 3
8,AU,5,2020,36,F,true,JMC,MARCH,2020,Lecture 8
8,AU,5,2020,36,F,true,PYC,FEBRUARY,2020,Lecture 5
9,CN,2,2018,68,M,true,JMC,MAY,2022,Lecture 13
9,CN,2,2018,68,M,true,PYC,MARCH,2020,Lecture 1
10,US,9,2022,50,U,true,JMC,FEBRUARY,2022,Lecture 4
10,US,9,2022,50,U,true,PYC,JANUARY,2023,Lecture 6
11,AU,9,2022,62,M,true,JMC,JANUARY,2022,Lecture 12
11,AU,9,2022,62,M,true,PYC,APRIL,2022,Lecture 9
12,GB,5,2017,61,U,true,JMC,SEPTEMBER,2023,Lecture 14
12,GB,5,2017,61,U,true,PYC,NOVEMBER,2021,Lecture 8
13,US,8,2019,20,U,true,JMC,OCTOBER,2020,Lecture 3
13,US,8,2019,20,U,true,PYC,JUNE,2024,Lecture 4
14,US,8,2020,39,M,true,JMC,NOVEMBER,2023,Lecture 11
14,US,8,2020,39,M,true,PYC,MARCH,2024,Lecture 1
15,AU,12,2017,30,M,true,JMC,DECEMBER,2019,Lecture 9
15,AU,12,2017,30,M,true,PYC,OCTOBER,2022,Lecture 9
16,GB,8,2018,82,F,false,JMC,DECEMBER,2020,Lecture 11
16,GB,8,2018,82,F,false,PYC,JANUARY,2019,Lecture 4
17,IN,7,2016,29,U,false,JMC,JUNE,2018,Lecture 11
17,IN,7,2016,29,U,false,PYC,APRIL,2021,Lecture 12
18,CN,4,2016,89,M,false,JMC,NOVEMBER,2017,Lecture 10
18,CN,4,2016,89,M,false,PYC,MARCH,2019,Lecture 6
19,AU,10,2018,76,F,true,JMC,JUNE,2022,Lecture 4
19,AU,10,2018,76,F,true,PYC,APRIL,2022,Lecture 12
20,GB,7,2018,32,M,true,JMC,JUNE,2021,Lecture 6
20,GB,7,2018,32,M,true,PYC,SEPTEMBER,2020,Lecture 13
21,AU,7,2023,29,F,false,JMC,NOVEMBER,2023,Lecture 8
21,AU,7,2023,29,F,false,PYC,SEPTEMBER,2023,Lecture 13
22,IN,7,2018,19,F,false,JMC,APRIL,2024,Lecture 6
22,IN,7,2018,19,F,false,PYC,SEPTEMBER,2022,Lecture 4
23,AU,11,2016,24,U,false,JMC,JULY,2017,Lecture 7
23,AU,11,2016,24,U,false,PYC,AUGUST,2017,Lecture 14
24,IN,2,2024,32,M,false,JMC,JUNE,2024,Lecture 6
24,IN,2,2024,32,M,false,PYC,SEPTEMBER,2024,Lecture 3
25,AU,6,2016,30,U,true,JMC,MARCH,2024,Lecture 6
25,AU,6,2016,30,U,true,PYC,MAY,2016,Lecture 12
