Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,GB,4,2019,58,F,true,JMC,JANUARY,2024,Lecture 5
1,GB,4,2019,58,F,true,PYC,OCTOBER,2022,Lecture 2
2,US,5,2018,58,M,false,JMC,APRIL,2020,Lecture 11
2,US,5,2018,58,M,false,PYC,JULY,2024,Lecture 11
3,US,1,2023,81,F,true,JMC,OCTOBER,2024,Lecture 1
3,US,1,2023,81,F,true,PYC,JUNE,2024,Lecture 9
4,CN,4,2018,41,U,true,JMC,MARCH,2020,Lecture 7
4,CN,4,2018,41,U,true,PYC,JULY,2019,Lecture 11
5,US,7,2023,20,U,true,JMC,FEBRUARY,2023,Lecture 14
5,US,7,2023,20,U,true,PYC,AUGUST,2024,Lecture 3
6,AU,3,2020,72,U,false,JMC,JULY,2022,Lecture 1
6,AU,3,2020,72,U,false,PYC,JANUARY,2022,Lecture 10
7,CN,9,2019,51,F,true,JMC,JUNE,2019,Lecture 9
7,CN,9,2019,51,F,true,PYC,FEBRUARY,2024,Lecture 4
8,IN,6,2023,83,F,true,JMC,OCTOBER,2024,Lecture 10
8,IN,6,2023,83,F,true,PYC,NOVEMBER,2024,Lecture 3
9,US,2,2015,54,U,true,JMC,DECEMBER,2021,Lecture 3
9,US,2,2015,54,U,true,PYC,DECEMBER,2021,Lecture 12
10,AU,6,2015,35,U,true,JMC,JANUARY,2020,Lecture 4
10,AU,6,2015,35,U,true,PYC,NOVEMBER,2015,Lecture 2
11,US,8,2015,72,F,false,JMC,NOVEMBER,2020,Lecture 14
11,US,8,2015,72,F,false,PYC,MARCH,2022,Lecture 1
12,CN,11,2017,89,M,false,JMC,AUGUST,2024,Lecture 3
12,CN,11,2017,89,M,false,PYC,APRIL,2019,Lecture 9
13,AU,1,2024,73,M,false,JMC,AUGUST,2024,Lecture 4
13,AU,1,2024,73,M,false,PYC,FEBRUARY,2024,Lecture 12
14,US,1,2024,45,U,true,JMC,MAY,2024,Lecture 11
14,US,1,2024,45,U,true,PYC,JULY,2024,Lecture 10
15,GB,8,2023,63,F,false,JMC,APRIL,2024,Lecture 9
15,GB,8,2023,63,F,false,PYC,DECEMBER,2023,Lecture 14
16,CN,9,2022,25,M,false,JMC,AUGUST,2022,Lecture 10
16,CN,9,2022,25,M,false,PYC,AUGUST,2024,Lecture 13
17,IN,8,2024,38,M,true,JMC,OCTOBER,2024,Lecture 14
17,IN,8,2024,38,M,true,PYC,JULY,2024,Lecture 9
18,US,2,2019,82,U,false,JMC,FEBRUARY,2024,Lecture 9
18,US,2,2019,82,U,false,PYC,APRIL,2022,Lecture 4
19,AU,5,2022,79,U,false,JMC,NOVEMBER,2022,Lecture 8
19,AU,5,2022,79,U,false,PYC,MAY,2024,Lecture 11
20,GB,2,2020,42,M,false,JMC,DECEMBER,2021,Lecture 4
20,GB,2,2020,42,M,false,PYC,JULY,2020,Lecture 9
21,IN,9,2017,54,M,true,JMC,MAY,2019,Lecture 12
21,IN,9,2017,54,M,true,PYC,APRIL,2017,Lecture 6
22,US,12,2020,45,M,false,JMC,NOVEMBER,2020,Lecture 4
22,US,12,2020,45,M,false,PYC,JANUARY,2024,Lecture 3
23,US,2,2016,63,M,false,JMC,APRIL,2017,Lecture 3
23,US,2,2016,63,M,false,PYC,DECEMBER,2021,Lecture 10
24,GB,3,2022,77,U,true,JMC,OCTOBER,2024,Lecture 9
24,GB,3,2022,77,U,true,PYC,DECEMBER,2024,Lecture 3
25,CN,1,2022,50,M,false,JMC,MAY,2022,Lecture 12
25,CN,1,2022,50,M,false,PYC,JANUARY,2022,Lecture 7
